app_lang_sign	en	pl	de	es	pt	fr	it	tr	id	th	ja	ko	zh	ar	ru	uk	vi	hi	bn	ur	ms	sw	he	el	nl	sv	ro	hu	cs	sk	sr	bg
tips_text_03_05	There you will find a number of options that will limit the application's operation in the background,	Znajdziesz tam szereg opcji które ograniczą pracę aplikacji w tle,	Dort finden Sie eine Reihe von Optionen, die den Betrieb der Anwendung im Hintergrund einschränken,	Allí encontrará una serie de opciones que limitarán el funcionamiento de la aplicación en segundo plano,	Aí encontrará uma série de opções que limitarão a operação da aplicação em segundo plano,	Vous y trouverez un certain nombre d'options qui limiteront le fonctionnement de l'application en arrière-plan,	Lì troverai una serie di opzioni che limiteranno il funzionamento dell'applicazione in background,	Orada uygulamanın arka planda çalışmasını sınırlayacak bir dizi seçenek bulacaksınız,	Di sana Anda akan menemukan sejumlah opsi yang akan membatasi operasi aplikasi di latar belakang,	ที่นั่น คุณจะพบตัวเลือกต่างๆ มากมายที่จะจำกัดการทำงานของแอปพลิเคชันในเบื้องหลัง เช่น การปิดการใช้งานการแจ้งเตือนและการรีเฟรชข้อมูลเบื้องหลัง หรือโปรไฟล์ประหยัดพลังงาน	そこには、通知やバックグラウンド データ更新の無効化、省電力プロファイルなど、バックグラウンドでのアプリケーションの動作を制限するオプションがいくつかあります。	여기에는 알림 비활성화 및 백그라운드 데이터 새로 고침 또는 에너지 절약 프로필과 같이 백그라운드에서 애플리케이션의 작동을 제한하는 여러 옵션이 있습니다.	在那里，您将找到许多选项，这些选项将限制应用程序在后台的运行，	ستجد هناك عددًا من الخيارات التي ستحد من تشغيل التطبيق في الخلفية،	Там вы найдете ряд параметров, которые будут ограничивать работу приложения в фоновом режиме,	Там ви знайдете ряд параметрів, які обмежать роботу програми у фоновому режимі,	Ở đó, bạn sẽ tìm thấy một số tùy chọn sẽ hạn chế hoạt động của ứng dụng ở chế độ nền,	वहाँ आपको कई विकल्प मिलेंगे जो पृष्ठभूमि में एप्लिकेशन के संचालन को सीमित करेंगे,	সেখানে আপনি অনেকগুলি বিকল্প পাবেন যা পটভূমিতে অ্যাপ্লিকেশনটির ক্রিয়াকলাপকে সীমাবদ্ধ করবে,	وہاں آپ کو بہت سے اختیارات ملیں گے جو پس منظر میں ایپلیکیشن کے آپریشن کو محدود کر دیں گے،	Di sana anda akan menemui beberapa pilihan yang akan mengehadkan operasi aplikasi di latar belakang,	Huko utapata idadi ya chaguo ambazo zitazuia utendaji wa programu chinichini,	שם תמצא מספר אפשרויות שיגבילו את פעולת היישום ברקע,	Εκεί θα βρείτε έναν αριθμό επιλογών που θα περιορίσουν τη λειτουργία της εφαρμογής στο παρασκήνιο,	Daar vindt u een aantal opties die de werking van de applicatie op de achtergrond zullen beperken,	Där hittar du ett antal alternativ som begränsar applikationens drift i bakgrunden,	Acolo vei găsi o serie de opțiuni care vor limita funcționarea aplicației în fundal,	Ott számos olyan lehetőséget találsz, amelyek korlátozzák az alkalmazás háttérben történő működését,	Najdete zde řadu možností, které omezí provoz aplikace na pozadí,	Nájdete tu množstvo možností, ktoré obmedzia fungovanie aplikácie na pozadí,	Tamo ćete pronaći brojne opcije koje će ograničiti rad aplikacije u pozadini,	Там ще намериш редица опции, които ще ограничат работата на приложението във фонов режим,
tips_text_03_06	such as disabling notifications and background data refreshing, or energy saving profiles.	takie jak wyłączenie powiadomień i odświeżania danych w tle, czy profile oszczędzania energii.	wie das Deaktivieren von Benachrichtigungen und der Aktualisierung von Hintergrunddaten oder Energiesparprofile.	como desactivar las notificaciones y la actualización de datos en segundo plano, o los perfiles de ahorro de energía.	como desativar as notificações e a atualização de dados em segundo plano ou os perfis de poupança de energia.	comme la désactivation des notifications et l'actualisation des données en arrière-plan, ou des profils d'économie d'énergie.	come la disattivazione delle notifiche e l'aggiornamento dei dati in background o profili di risparmio energetico.	örneğin bildirimleri ve arka plan veri yenilemeyi devre dışı bırakma veya enerji tasarrufu profilleri.	seperti menonaktifkan notifikasi dan menyegarkan data latar belakang, atau profil hemat energi.	null	null	null	例如禁用通知和后台数据刷新，或节能配置文件。	مثل تعطيل الإشعارات وتحديث بيانات الخلفية، أو ملفات تعريف توفير الطاقة.	например, отключение уведомлений и фонового обновления данных или профили энергосбережения.	наприклад, вимкнення сповіщень і оновлення фонових даних або профілі енергозбереження.	chẳng hạn như tắt thông báo và làm mới dữ liệu nền hoặc cấu hình tiết kiệm năng lượng.	जैसे कि सूचनाएँ अक्षम करना और पृष्ठभूमि डेटा रिफ्रेश करना, या ऊर्जा बचत प्रोफ़ाइल।	যেমন বিজ্ঞপ্তি অক্ষম করা এবং ব্যাকগ্রাউন্ড ডেটা রিফ্রেশ করা, বা শক্তি সঞ্চয়কারী প্রোফাইল।	جیسے کہ اطلاعات کو غیر فعال کرنا اور بیک گراؤنڈ ڈیٹا ریفریش کرنا، یا انرجی سیونگ پروفائلز۔	seperti mematikan pemberitahuan dan penyegaran data latar belakang, atau profil penjimatan tenaga.	kama vile kuzima arifa na kuonyesha upya data chinichini, au wasifu wa kuokoa nishati.	כגון השבתת התראות ורענון נתוני רקע, או פרופילי חיסכון באנרגיה.	όπως απενεργοποίηση ειδοποιήσεων και ανανέωση δεδομένων παρασκηνίου, ή προφίλ εξοικονόμησης ενέργειας.	zoals het uitschakelen van meldingen en het verversen van achtergrondgegevens, of energiebesparende profielen.	som att inaktivera notifikationer och uppdatering av bakgrundsdata, eller energisparprofiler.	cum ar fi dezactivarea notificărilor și reîmprospătarea datelor de fundal sau profilurile de economisire a energiei.	például az értesítések és a háttéradatok frissítésének letiltása, vagy az energiatakarékossági profilok.	jako je zakázání upozornění a obnovování dat na pozadí nebo profily úspory energie.	ako je zakázanie upozornení a obnovovania údajov na pozadí alebo profily úspory energie.	kao što je onemogućavanje obaveštenja i osvežavanja podataka u pozadini, ili profili za uštedu energije.	като например деактивиране на известия и обновяване на данни във фонов режим или профили за пестене на енергия.
tips_title_04	Battery saving modes	Tryby oszczędzania baterii	Batteriesparmodi	Modos de ahorro de batería	Modos de poupança de bateria	Modes d'économie de batterie	Modalità di risparmio della batteria	Pil tasarrufu modları	Mode hemat baterai	โหมดประหยัดแบตเตอรี่	バッテリー節約モード	배터리 절약 모드	省电模式	أوضاع توفير البطارية	Режимы экономии заряда батареи	Режими економії заряду батареї	Chế độ tiết kiệm pin	बैटरी बचत मोड	ব্যাটারি সেভিং মোড	بیٹری کی بچت کے طریقے	Mod penjimatan bateri	Njia za kuokoa betri	מצבי חיסכון בסוללה	Λειτουργίες εξοικονόμησης μπαταρίας	Batterijbesparende modi	Batterisparlägen	Moduri de economisire a bateriei	Akkumulátorkímélő üzemmódok	Režimy úspory baterie	Režimy úspory batérie	Režimi uštede baterije	Режими за пестене на батерията
tips_text_04_01	Some phones have special power saving modes.	Niektóre telefony mają specjalne tryby oszczędzania energii.	Einige Telefone haben spezielle Energiesparmodi.	Algunos teléfonos tienen modos especiales de ahorro de energía.	Alguns telefones possuem modos especiais de poupança de energia.	Certains téléphones disposent de modes d'économie d'énergie spéciaux.	Alcuni telefoni hanno speciali modalità di risparmio energetico.	Bazı telefonların özel güç tasarrufu modları vardır.	Beberapa telepon memiliki mode hemat daya khusus.	โทรศัพท์บางรุ่นมีโหมดประหยัดพลังงานพิเศษ	一部の電話には特別な省電力モードがあります。	일부 휴대전화에는 특수한 절전 모드가 있습니다.	某些手机具有特殊的省电模式。	تحتوي بعض الهواتف على أوضاع خاصة لتوفير الطاقة.	Некоторые телефоны имеют специальные режимы энергосбережения.	Деякі телефони мають спеціальні режими енергозбереження.	Một số điện thoại có chế độ tiết kiệm năng lượng đặc biệt.	कुछ फ़ोन में विशेष पावर सेविंग मोड होते हैं।	কিছু ফোনে বিশেষ পাওয়ার সেভিং মোড আছে।	کچھ فونز میں بجلی کی بچت کے خصوصی موڈ ہوتے ہیں۔	Sesetengah telefon mempunyai mod penjimatan kuasa khas.	Simu zingine zina njia maalum za kuokoa nishati.	לחלק מהטלפונים יש מצבי חיסכון בחשמל מיוחדים.	Ορισμένα τηλέφωνα διαθέτουν ειδικές λειτουργίες εξοικονόμησης ενέργειας.	Sommige telefoons hebben speciale energiebesparende modi.	Vissa telefoner har speciella energisparlägen.	Unele telefoane au moduri speciale de economisire a energiei.	Néhány telefon rendelkezik speciális energiatakarékos üzemmódokkal.	Některé telefony mají speciální režimy úspory energie.	Niektoré telefóny majú špeciálne režimy úspory energie.	Neki telefoni imaju posebne režime za uštedu energije.	Някои телефони имат специални режими за пестене на енергия.
tips_text_04_02	They limit some phone functions, but they allow you to significantly extend battery life.	Ograniczają one niektóre funkcje telefonu, ale pozwalają znacząco wydłużyć czas pracy na baterii.	Sie schränken einige Telefonfunktionen ein, ermöglichen Ihnen jedoch, die Akkulaufzeit erheblich zu verlängern.	Limitan algunas funciones del teléfono, pero le permiten extender significativamente la vida útil de la batería.	Limitam algumas funções do telefone, mas permitem prolongar significativamente a vida útil da bateria.	Ils limitent certaines fonctions du téléphone, mais ils vous permettent de prolonger considérablement la durée de vie de la batterie.	Limitano alcune funzioni del telefono, ma ti consentono di prolungare notevolmente la durata della batteria.	Bunlar bazı telefon işlevlerini sınırlar, ancak pil ömrünü önemli ölçüde uzatmanıza olanak tanır.	Mode ini membatasi beberapa fungsi telepon, tetapi memungkinkan Anda memperpanjang masa pakai baterai secara signifikan.	โหมดเหล่านี้จำกัดฟังก์ชันบางอย่างของโทรศัพท์ แต่ช่วยให้คุณยืดอายุแบตเตอรี่ได้อย่างมาก	これらのモードでは電話の一部の機能が制限されますが、バッテリー寿命を大幅に延ばすことができます。	이 모드는 일부 휴대전화 기능을 제한하지만 배터리 수명을 크게 연장할 수 있습니다.	它们会限制某些手机功能，但可以显着延长电池寿命。	تحد هذه الأوضاع من بعض وظائف الهاتف، ولكنها تسمح لك بإطالة عمر البطارية بشكل كبير.	Они ограничивают некоторые функции телефона, но позволяют значительно продлить срок службы батареи.	Вони обмежують деякі функції телефону, але дозволяють значно продовжити термін служби батареї.	Chúng hạn chế một số chức năng của điện thoại, nhưng cho phép bạn kéo dài đáng kể thời lượng pin.	वे कुछ फ़ोन फ़ंक्शन को सीमित करते हैं, लेकिन वे आपको बैटरी जीवन को महत्वपूर्ण रूप से बढ़ाने की अनुमति देते हैं।	তারা কিছু ফোন ফাংশন সীমিত, কিন্তু তারা আপনাকে উল্লেখযোগ্যভাবে ব্যাটারি জীবন প্রসারিত করতে অনুমতি দেয়.	وہ فون کے کچھ افعال کو محدود کرتے ہیں، لیکن وہ آپ کو بیٹری کی زندگی کو نمایاں طور پر بڑھانے کی اجازت دیتے ہیں۔	Ia mengehadkan beberapa fungsi telefon, tetapi ia membolehkan anda memanjangkan hayat bateri dengan ketara.	Zinazuia baadhi ya kazi za simu, lakini zinakuwezesha kuongeza muda wa matumizi ya betri kwa kiasi kikubwa.	הם מגבילים חלק מפעולות הטלפון, אך הם מאפשרים לך להאריך משמעותית את חיי הסוללה.	Περιορίζουν ορισμένες λειτουργίες του τηλεφώνου, αλλά σας επιτρέπουν να επεκτείνετε σημαντικά τη διάρκεια ζωής της μπαταρίας.	Ze beperken sommige telefoonfuncties, maar stellen u in staat de levensduur van de batterij aanzienlijk te verlengen.	De begränsar vissa telefonfunktioner, men de gör att du kan förlänga batteritiden betydligt.	Acestea limitează unele funcții ale telefonului, dar îți permit să prelungești semnificativ durata de viață a bateriei.	Ezek korlátozzák a telefon egyes funkcióit, de lehetővé teszik az akkumulátor élettartamának jelentős meghosszabbítását.	Omezují některé funkce telefonu, ale umožňují výrazně prodloužit výdrž baterie.	Obmedzujú niektoré funkcie telefónu, ale umožňujú vám výrazne predĺžiť výdrž batérie.	Oni ograničavaju neke funkcije telefona, ali vam omogućavaju da značajno produžite trajanje baterije.	Те ограничават някои функции на телефона, но ти позволяват значително да удължиш живота на батерията.
tips_text_04_03	Find and try them on your phone.	Znajdź i wypróbuj je na swoim telefonie.	Finden Sie sie und probieren Sie sie auf Ihrem Telefon aus.	Encuéntrelos y pruébelos en su teléfono.	Encontre e experimente-os no seu telefone.	Recherchez-les et essayez-les sur votre téléphone.	Trova e provale sul tuo telefono.	Bunları telefonunuzda bulun ve deneyin.	Temukan dan coba di telepon Anda.	ค้นหาและลองใช้โหมดเหล่านี้บนโทรศัพท์ของคุณ	お使いの電話でそれらを見つけて試してみてください。	휴대전화에서 찾아서 시도해 보세요.	在您的手机上找到并尝试它们。	ابحث عنها وجربها على هاتفك.	Найдите и попробуйте их на своем телефоне.	Знайдіть і спробуйте їх на своєму телефоні.	Tìm và thử chúng trên điện thoại của bạn.	उन्हें अपने फ़ोन पर ढूँढ़ें और आज़माएँ।	আপনার ফোনে তাদের খুঁজুন এবং চেষ্টা করুন।	انہیں اپنے فون پر تلاش کریں اور آزمائیں۔	Cari dan cuba pada telefon anda.	Tafuta na ujaribu kwenye simu yako.	מצא ונסה אותם בטלפון שלך.	Βρείτε και δοκιμάστε τις στο τηλέφωνό σας.	Zoek en probeer ze op uw telefoon.	Hitta och prova dem på din telefon.	Găsește-le și încearcă-le pe telefonul tău.	Keresd meg és próbáld ki őket a telefonodon.	Najděte a vyzkoušejte je na svém telefonu.	Nájdite a vyskúšajte ich na svojom telefóne.	Pronađite ih i isprobajte na svom telefonu.	Намери ги и ги изпробвай на телефона си.
tips_text_04_04	You will be able to use them in an emergency situation.	Bedziesz z nich mógł skorzystać w sytuacji awaryjnej.	Sie können sie in einer Notsituation verwenden.	Podrá usarlos en una situación de emergencia.	Poderá usá-los em situação de emergência.	Vous pourrez les utiliser en cas d'urgence.	Sarai in grado di utilizzarle in caso di emergenza.	Acil bir durumda bunları kullanabileceksiniz.	Anda akan dapat menggunakannya dalam situasi darurat.	คุณจะสามารถใช้โหมดเหล่านี้ในสถานการณ์ฉุกเฉินได้	緊急時に使用できます。	비상 상황에서 사용할 수 있습니다.	您将能够在紧急情况下使用它们。	ستتمكن من استخدامها في حالة الطوارئ.	Вы сможете использовать их в экстренной ситуации.	Ви зможете скористатися ними в екстреній ситуації.	Bạn sẽ có thể sử dụng chúng trong trường hợp khẩn cấp.	आप उन्हें आपातकालीन स्थिति में उपयोग कर पाएँगे।	আপনি একটি জরুরী পরিস্থিতিতে তাদের ব্যবহার করতে সক্ষম হবে.	آپ انہیں ہنگامی صورتحال میں استعمال کر سکیں گے۔	Anda akan dapat menggunakannya dalam keadaan kecemasan.	Utaweza kuzitumia katika hali ya dharura.	תוכל להשתמש בהם במצב חירום.	Θα μπορείτε να τις χρησιμοποιήσετε σε περίπτωση έκτακτης ανάγκης.	U zult ze in een noodsituatie kunnen gebruiken.	Du kommer att kunna använda dem i en nödsituation.	Vei putea să le folosești într-o situație de urgență.	Vészhelyzetben használni tudod őket.	Budete je moci použít v nouzové situaci.	Budete ich môcť použiť v núdzovej situácii.	Moći ćete da ih koristite u hitnim slučajevima.	Ще можеш да ги използваш в спешни случаи.
tips_title_05	Limit usage of energy consuming apps	Ogranicz korzystanie z energochłonnych aplikacji	Beschränken Sie die Nutzung energieintensiver Apps	Limite el uso de aplicaciones que consumen más energía	Limite o uso de aplicações que consomem energia	Limitez l'utilisation des applications consommatrices d'énergie	Limita l'utilizzo di app che consumano energia	Enerji tüketen uygulamaların kullanımını sınırlayın	Batasi penggunaan aplikasi yang menghabiskan energi	จำกัดการใช้งานแอปที่ใช้พลังงาน	エネルギーを消費するアプリの使用を制限する	에너지 소모 앱 사용 제한	限制耗电应用程序的使用	حد من استخدام التطبيقات المستهلكة للطاقة	Ограничьте использование энергоемких приложений	Обмежте використання енергоспоживаючих програм	Hạn chế sử dụng các ứng dụng tiêu thụ nhiều năng lượng	ऊर्जा खपत करने वाले ऐप्स के उपयोग को सीमित करें	শক্তি খরচকারী অ্যাপের ব্যবহার সীমিত করুন	توانائی استعمال کرنے والی ایپس کے استعمال کو محدود کریں۔	Hadkan penggunaan aplikasi yang menggunakan banyak tenaga	Punguza matumizi ya programu zinazotumia nishati nyingi	הגבל את השימוש באפליקציות הצורכות אנרגיה	Περιορίστε τη χρήση εφαρμογών που καταναλώνουν ενέργεια	Beperk het gebruik van energieverslindende apps	Begränsa användningen av energikrävande appar	Limitează utilizarea aplicațiilor cu consum mare de energie	Korlátozd az energiaigényes alkalmazások használatát	Omezte používání aplikací náročných na energii	Obmedzte používanie aplikácií náročných na energiu	Ograničite upotrebu aplikacija koje troše energiju	Ограничи използването на приложения, консумиращи енергия
tips_text_05_01	Be aware that some applications are more energy consuming than others.	Należy pamiętać, że niektóre aplikacje zużywają więcej energii niż inne.	Beachten Sie, dass einige Anwendungen mehr Energie verbrauchen als andere. Die Videowiedergabe ist eine der akkuintensivsten Aktivitäten auf einem Smartphone.	Tenga en cuenta que algunas aplicaciones consumen más energía que otras.	Tenha em atenção que algumas aplicações consomem mais energia do que outras.	Sachez que certaines applications consomment plus d'énergie que d'autres.	Tieni presente che alcune applicazioni consumano più energia di altre. La riproduzione video è una delle attività che consuma più batteria su uno smartphone.	Bazı uygulamaların diğerlerinden daha fazla enerji tükettiğini unutmayın. Video oynatma, bir akıllı telefondaki en çok pil tüketen aktivitelerden biridir.	Ketahui bahwa beberapa aplikasi lebih banyak menggunakan energi daripada yang lain.	โปรดทราบว่าแอปพลิเคชันบางตัวใช้พลังงานมากกว่าแอปอื่นๆ การเล่นวิดีโอเป็นกิจกรรมที่ใช้แบตเตอรี่มากที่สุดอย่างหนึ่งบนสมาร์ทโฟน	一部のアプリケーションは他のアプリケーションよりも多くのエネルギーを消費することに注意してください。	일부 애플리케이션은 다른 애플리케이션보다 더 많은 에너지를 소모한다는 점에 유의하세요.	请注意，某些应用程序比其他应用程序更耗电。	كن على دراية بأن بعض التطبيقات تستهلك طاقة أكثر من غيرها.	Имейте в виду, что некоторые приложения потребляют больше энергии, чем другие.	Майте на увазі, що деякі програми споживають більше енергії, ніж інші.	Lưu ý rằng một số ứng dụng tiêu thụ nhiều năng lượng hơn những ứng dụng khác.	ध्यान रखें कि कुछ एप्लिकेशन दूसरों की तुलना में अधिक ऊर्जा खपत करते हैं।	সচেতন থাকুন যে কিছু অ্যাপ্লিকেশন অন্যদের তুলনায় বেশি শক্তি খরচ করে।	آگاہ رہیں کہ کچھ ایپلی کیشنز دوسروں کے مقابلے میں زیادہ توانائی استعمال کرتی ہیں۔	Sedari bahawa sesetengah aplikasi menggunakan lebih banyak tenaga daripada yang lain.	Fahamu kuwa baadhi ya programu hutumia nishati nyingi kuliko zingine.	שים לב שיישומים מסוימים צורכים יותר אנרגיה מאחרים.	Να γνωρίζετε ότι ορισμένες εφαρμογές καταναλώνουν περισσότερη ενέργεια από άλλες.	Wees ervan bewust dat sommige applicaties meer energie verbruiken dan andere.	Var medveten om att vissa applikationer är mer energikrävande än andra.	Fii conștient că unele aplicații consumă mai multă energie decât altele.	Ne feledd, hogy egyes alkalmazások energiaigényesebbek, mint mások.	Uvědomte si, že některé aplikace spotřebovávají více energie než jiné.	Uvedomte si, že niektoré aplikácie spotrebúvajú viac energie ako iné.	Budite svesni da neke aplikacije troše više energije od drugih.	Имай предвид, че някои приложения консумират повече енергия от други.
tips_text_05_02	Video playback is one of the most battery-intensive activities on a smartphone.	Odtwarzanie wideo jest jedną z najbardziej energochłonnych czynności na smartfonie.	Um Akku zu sparen, können Sie die Zeit, die Sie mit dem Ansehen von Videos verbringen, begrenzen oder auf ein Format mit niedrigerer Auflösung umschalten.	La reproducción de videos es una de las actividades que más batería consume en un teléfono inteligente.	A reprodução de vídeo é uma das atividades que mais consome bateria num smartphone.	La lecture de vidéos est l'une des activités les plus gourmandes en batterie sur un smartphone.	Per risparmiare batteria, puoi limitare il tempo trascorso a guardare video oppure puoi passare a un formato a risoluzione inferiore.	Pil tasarrufu yapmak için, video izlemek için harcadığınız zamanı sınırlayabilir veya daha düşük çözünürlüklü bir formata geçebilirsiniz.	Pemutaran video merupakan salah satu aktivitas yang paling menguras baterai pada ponsel pintar.	เพื่อประหยัดแบตเตอรี่ คุณสามารถจำกัดเวลาที่ใช้ในการดูวิดีโอ หรือเปลี่ยนไปใช้รูปแบบที่มีความละเอียดต่ำกว่าได้	動画の再生は、スマートフォンで最もバッテリーを消費するアクティビティの 1 つです。	비디오 재생은 스마트폰에서 배터리를 가장 많이 소모하는 활동 중 하나입니다.	视频播放是智能手机上最耗电的活动之一。	يعد تشغيل الفيديو أحد أكثر الأنشطة استهلاكًا للبطارية على الهواتف الذكية.	Воспроизведение видео — одно из самых ресурсоемких занятий на смартфоне.	Відтворення відео є однією з найбільш інтенсивних операцій на смартфоні.	Phát video là một trong những hoạt động ngốn pin nhất trên điện thoại thông minh.	वीडियो प्लेबैक स्मार्टफोन पर सबसे ज़्यादा बैटरी खपत करने वाली गतिविधियों में से एक है।	ভিডিও প্লেব্যাক একটি স্মার্টফোনে সবচেয়ে ব্যাটারি-নিবিড় ক্রিয়াকলাপগুলির মধ্যে একটি।	ویڈیو پلے بیک اسمارٹ فون پر سب سے زیادہ بیٹری سے چلنے والی سرگرمیوں میں سے ایک ہے۔	Main balik video adalah salah satu aktiviti yang paling intensif bateri pada telefon pintar.	Uchezaji wa video ni moja ya shughuli zinazotumia betri nyingi zaidi kwenye simu mahiri.	הפעלת וידאו היא אחת הפעילויות האינטנסיביות ביותר מבחינת סוללה בסמארטפון.	Η αναπαραγωγή βίντεο είναι μία από τις πιο ενεργοβόρες δραστηριότητες σε ένα smartphone.	Videoweergave is een van de meest batterij-intensieve activiteiten op een smartphone.	Videouppspelning är en av de mest batterikrävande aktiviteterna på en smartphone.	Redarea video este una dintre cele mai intensive activități pentru baterie de pe un smartphone.	A videólejátszás az egyik leginkább akkumulátorigényes tevékenység okostelefonon.	Přehrávání videa je jednou z energeticky nejnáročnějších činností na smartphonu.	Prehrávanie videa je jednou z najnáročnejších aktivít na batériu na smartfóne.	Reprodukcija video zapisa je jedna od aktivnosti koje najviše troše bateriju na pametnom telefonu.	Възпроизвеждането на видео е една от най-интензивните за батерията дейности на смартфон.
tips_text_05_03	To save battery, you can limit the amount of time you spend watching videos, or you can switch to a lower-resolution format.	Aby zaoszczędzić baterię, możesz ograniczyć czas oglądania filmów lub zmienić format na niższe rozdzielczości.	Andere energiehungrige Anwendungen sind 3D-Spiele und Navigationsanwendungen.	Para ahorrar batería, puede limitar la cantidad de tiempo que pasa viendo videos o puede cambiar a un formato de menor resolución.	Para poupar bateria, pode limitar o tempo que passa a ver vídeos ou pode mudar para um formato de resolução mais baixa.	Pour économiser la batterie, vous pouvez limiter le temps que vous passez à regarder des vidéos ou passer à un format à résolution inférieure.	Altre applicazioni che consumano molta energia sono i giochi 3D e le applicazioni di navigazione.	Diğer enerji tüketen uygulamalar 3D oyunlar ve navigasyon uygulamalarıdır.	Untuk menghemat baterai, Anda dapat membatasi jumlah waktu yang dihabiskan untuk menonton video, atau beralih ke format resolusi rendah.	แอปพลิเคชันที่กินพลังงานอื่นๆ ได้แก่ เกม 3 มิติและแอปพลิเคชันนำทาง	バッテリーを節約するには、動画の視聴時間を制限したり、解像度の低い形式に切り替えたりすることができます。	배터리를 절약하려면 비디오 시청 시간을 제한하거나 낮은 해상도 형식으로 전환할 수 있습니다.	为了节省电量，您可以限制观看视频的时间，或者切换到较低分辨率的格式。	لتوفير البطارية، يمكنك الحد من الوقت الذي تقضيه في مشاهدة مقاطع الفيديو، أو يمكنك التبديل إلى تنسيق أقل دقة.	Чтобы сэкономить заряд батареи, вы можете ограничить время просмотра видео или переключиться на формат с более низким разрешением.	Щоб заощадити батарею, ви можете обмежити кількість часу, який ви витрачаєте на перегляд відео, або ви можете перейти до формату з нижчою роздільною здатністю.	Để tiết kiệm pin, bạn có thể giới hạn thời gian xem video hoặc chuyển sang định dạng có độ phân giải thấp hơn.	बैटरी बचाने के लिए, आप वीडियो देखने में लगने वाले समय को सीमित कर सकते हैं या आप कम-रिज़ॉल्यूशन वाले फ़ॉर्मेट पर स्विच कर सकते हैं।	ব্যাটারি বাঁচাতে, আপনি ভিডিও দেখার সময় ব্যয় করার পরিমাণ সীমিত করতে পারেন, অথবা আপনি একটি নিম্ন-রেজোলিউশন ফর্ম্যাটে স্যুইচ করতে পারেন৷	بیٹری بچانے کے لیے، آپ ویڈیوز دیکھنے میں صرف کیے جانے والے وقت کو محدود کر سکتے ہیں، یا آپ کم ریزولوشن فارمیٹ پر سوئچ کر سکتے ہیں۔	Untuk menjimatkan bateri, anda boleh mengehadkan masa yang anda habiskan untuk menonton video, atau anda boleh bertukar kepada format resolusi yang lebih rendah.	Ili kuokoa betri, unaweza kupunguza muda unaotumia kutazama video, au unaweza kubadilisha hadi umbizo la azimio dogo.	כדי לחסוך בסוללה, אתה יכול להגביל את כמות הזמן שאתה מבלה בצפייה בסרטונים, או שאתה יכול לעבור לפורמט ברזולוציה נמוכה יותר.	Για να εξοικονομήσετε μπαταρία, μπορείτε να περιορίσετε τον χρόνο που αφιερώνετε στην παρακολούθηση βίντεο ή μπορείτε να αλλάξετε σε μορφή χαμηλότερης ανάλυσης.	Om batterij te besparen, kunt u de hoeveelheid tijd die u aan het kijken naar video's besteedt beperken, of u kunt overschakelen naar een formaat met een lagere resolutie.	För att spara batteri kan du begränsa tiden du tittar på videor, eller så kan du byta till ett format med lägre upplösning.	Pentru a economisi bateria, poți limita timpul pe care îl petreci vizionând videoclipuri sau poți trece la un format cu rezoluție mai mică.	Az akkumulátor kímélése érdekében korlátozhatod a videónézéssel töltött időt, vagy válthatsz alacsonyabb felbontású formátumra.	Chcete-li šetřit baterii, můžete omezit dobu, kterou strávíte sledováním videí, nebo můžete přepnout na formát s nižším rozlišením.	Ak chcete šetriť batériu, môžete obmedziť čas strávený sledovaním videí alebo môžete prejsť na formát s nižším rozlíšením.	Da biste uštedeli bateriju, možete da ograničite vreme koje provodite gledajući video zapise, ili možete da pređete na format niže rezolucije.	За да спестиш батерия, можеш да ограничиш времето, което прекарваш в гледане на видеоклипове, или можеш да превключиш към формат с по-ниска разделителна способност.
